#include        | PREPROCESSOR    | Len: 8   | Line: 1 | Pos: 0
,               | SEPARATOR       | Len: 1   | Line: 37 | Pos: 648
b               | IDENTIFIER      | Len: 1   | Line: 37 | Pos: 650
=               | OPERATOR        | Len: 1   | Line: 37 | Pos: 652
20              | NUMBER          | Len: 2   | Line: 37 | Pos: 654
;               | SEPARATOR       | Len: 1   | Line: 37 | Pos: 656
if              | KEYWORD         | Len: 2   | Line: 38 | Pos: 662
(               | SEPARATOR       | Len: 1   | Line: 38 | Pos: 665
a               | IDENTIFIER      | Len: 1   | Line: 38 | Pos: 666
<               | OPERATOR        | Len: 1   | Line: 38 | Pos: 668
b               | IDENTIFIER      | Len: 1   | Line: 38 | Pos: 670
&&              | OPERATOR        | Len: 2   | Line: 38 | Pos: 672
b               | IDENTIFIER      | Len: 1   | Line: 38 | Pos: 675
!=              | OPERATOR        | Len: 2   | Line: 38 | Pos: 677
0               | NUMBER          | Len: 1   | Line: 38 | Pos: 680
)               | SEPARATOR       | Len: 1   | Line: 38 | Pos: 681
{               | SEPARATOR       | Len: 1   | Line: 38 | Pos: 683
cout            | IDENTIFIER      | Len: 4   | Line: 39 | Pos: 693
<<              | OPERATOR        | Len: 2   | Line: 39 | Pos: 698
"b is greater than a" | STRING          | Len: 21  | Line: 39 | Pos: 701
<<              | OPERATOR        | Len: 2   | Line: 39 | Pos: 723
endl            | IDENTIFIER      | Len: 4   | Line: 39 | Pos: 726
;               | SEPARATOR       | Len: 1   | Line: 39 | Pos: 730
}               | SEPARATOR       | Len: 1   | Line: 40 | Pos: 736
// Testăm pointeri și alocare dinamică | COMMENT         | Len: 38  | Line: 42 | Pos: 743
int             | KEYWORD         | Len: 3   | Line: 43 | Pos: 786
*               | OPERATOR        | Len: 1   | Line: 43 | Pos: 790
ptr             | IDENTIFIER      | Len: 3   | Line: 43 | Pos: 791
=               | OPERATOR        | Len: 1   | Line: 43 | Pos: 795
new             | KEYWORD         | Len: 3   | Line: 43 | Pos: 797
int             | KEYWORD         | Len: 3   | Line: 43 | Pos: 801
